iter	Passed	Remaining
638	17409	9835
639	17428	9803
640	17448	9772
641	17477	9746
642	17497	9714
643	17517	9683
644	17543	9655
645	17562	9624
646	17590	9597
647	17620	9571
648	17652	9547
649	17676	9517
650	17695	9486
651	17717	9456
652	17740	9427
653	17760	9396
654	17788	9369
655	17806	9337
656	17826	9306
657	17847	9276
658	17866	9245
659	17894	9218
660	17914	9187
661	17933	9156
662	17959	9128
663	17982	9099
664	18023	9079
665	18045	9049
666	18067	9020
667	18089	8990
668	18128	8969
669	18151	8940
670	18179	8913
671	18199	8882
672	18224	8854
673	18255	8829
674	18275	8799
675	18298	8770
676	18323	8742
677	18343	8711
678	18374	8686
679	18402	8660
680	18425	8630
681	18445	8600
682	18466	8570
683	18507	8550
684	18533	8522
685	18552	8492
686	18593	8471
687	18613	8440
688	18632	8410
689	18652	8380
690	18673	8350
691	18704	8324
692	18723	8294
693	18752	8268
694	18776	8240
695	18797	8210
696	18817	8180
697	18844	8153
698	18867	8124
699	18891	8096
700	18918	8069
701	18937	8039
702	18959	8009
703	18979	7979
704	18999	7950
705	19029	7924
706	19048	7894
707	19072	7865
708	19102	7840
709	19121	7810
710	19148	7783
711	19169	7753
712	19189	7724
713	19213	7695
714	19235	7667
715	19259	7639
716	19283	7611
717	19313	7585
718	19335	7556
719	19359	7528
720	19384	7501
721	19430	7481
722	19463	7456
723	19485	7428
724	19521	7404
725	19549	7378
726	19574	7350
727	19603	7324
728	19633	7298
729	19654	7269
730	19674	7240
731	19698	7212
732	19718	7182
733	19747	7156
734	19776	7130
735	19797	7101
736	19825	7074
737	19845	7045
738	19864	7015
739	19884	6986
740	19910	6959
741	19932	6930
742	19953	6901
743	19978	6874
744	20003	6846
745	20034	6821
746	20062	6794
747	20085	6766
748	20106	6737
749	20136	6712
750	20167	6686
751	20189	6658
752	20208	6628
753	20228	6599
754	20249	6570
755	20269	6541
756	20289	6513
757	20312	6484
758	20335	6456
759	20355	6427
760	20375	6399
761	20410	6375
762	20432	6346
763	20480	6326
764	20520	6303
765	20558	6280
766	20581	6252
767	20601	6223
768	20641	6200
769	20670	6174
770	20701	6148
771	20722	6120
772	20744	6091
773	20768	6064
774	20791	6036
775	20814	6008
776	20836	5980
777	20857	5951
778	20891	5926
779	20925	5901
780	20962	5878
781	20997	5853
782	21031	5828
783	21056	5801
784	21082	5774
785	21102	5745
786	21121	5716
787	21147	5689
788	21167	5660
789	21194	5633
790	21215	5605
791	21244	5579
792	21281	5555
793	21306	5527
794	21332	5500
795	21362	5474
796	21393	5448
797	21416	5421
798	21441	5393
799	21480	5370
800	21504	5342
801	21549	5320
802	21575	5293
803	21599	5265
804	21628	5239
805	21658	5213
806	21686	5186
807	21706	5157
808	21727	5129
809	21761	5104
810	21781	5076
811	21817	5051
812	21841	5023
813	21865	4996
814	21889	4968
815	21927	4944
816	21953	4917
817	21977	4889
818	22002	4862
819	22024	4834
820	22045	4806
821	22069	4779
822	22093	4751
823	22127	4726
824	22151	4698
825	22173	4670
826	22198	4643
827	22220	4615
828	22243	4588
829	22276	4562
830	22299	4535
831	22323	4507
832	22352	4481
833	22378	4454
834	22401	4426
835	22423	4398
836	22446	4371
837	22479	4345
838	22504	4318
839	22531	4291
840	22553	4263
841	22580	4237
842	22603	4209
843	22649	4186
844	22672	4158
845	22695	4131
846	22733	4106
847	22756	4078
848	22795	4054
849	22833	4029
850	22880	4006
851	22914	3980
852	22956	3956
853	22988	3930
854	23014	3902
855	23044	3876
856	23074	3850
857	23097	3822
858	23133	3797
859	23157	3769
860	23180	3742
861	23202	3714
862	23229	3687
863	23252	3660
864	23276	3632
865	23313	3607
866	23347	3581
867	23371	3554
868	23395	3526
869	23420	3499
870	23452	3473
871	23474	3445
872	23495	3417
873	23520	3390
874	23546	3363
875	23571	3336
876	23603	3310
877	23635	3284
878	23665	3257
879	23689	3230
880	23712	3202
881	23736	3175
882	23773	3150
883	23795	3122
884	23817	3094
885	23839	3067
886	23859	3039
887	23882	3012
888	23906	2984
889	23931	2957
890	23964	2931
891	23990	2904
892	24022	2878
893	24052	2851
894	24083	2825
895	24109	2798
896	24165	2774
897	24207	2749
898	24243	2723
899	24272	2696
900	24298	2669
901	24323	2642
902	24347	2615
903	24371	2588
904	24403	2561
905	24434	2535
906	24458	2507
907	24480	2480
908	24505	2453
909	24529	2425
910	24555	2398
911	24592	2372
912	24626	2346
913	24654	2319
914	24677	2292
915	24709	2265
916	24749	2240
917	24791	2214
918	24817	2187
919	24851	2161
920	24874	2133
921	24898	2106
922	24922	2079
923	24946	2051
924	24970	2024
925	24995	1997
926	25017	1970
927	25039	1942
928	25066	1915
929	25087	1888
930	25117	1861
931	25148	1834
932	25171	1807
933	25191	1780
934	25211	1752
935	25231	1725
936	25251	1697
937	25271	1670
938	25291	1642
939	25322	1616
940	25343	1588
941	25365	1561
942	25391	1534
943	25411	1507
944	25431	1480
945	25452	1452
946	25479	1425
947	25507	1399
948	25539	1372
949	25568	1345
950	25594	1318
951	25621	1291
952	25641	1264
953	25661	1237
954	25679	1210
955	25700	1182
956	25726	1155
957	25762	1129
958	25782	1102
959	25811	1075
960	25831	1048
961	25850	1021
962	25869	993
963	25889	966
964	25911	939
965	25939	912
966	25959	885
967	25978	858
968	25999	831
969	26019	804
970	26041	777
971	26070	750
972	26097	724
973	26127	697
974	26146	670
975	26169	643
976	26189	616
977	26212	589
978	26236	562
979	26257	535
980	26277	508
981	26302	482
982	26334	455
983	26354	428
984	26379	401
985	26399	374
986	26421	348
987	26447	321
988	26490	294
989	26518	267
990	26542	241
991	26566	214
992	26598	187
993	26657	160
994	26687	134
995	26718	107
996	26742	80
997	26769	53
998	26811	26
999	26844	0
