iter	Logloss
0	0.6926536069
1	0.6921964119
2	0.6600766326
3	0.6597535125
4	0.6594734255
5	0.6592142079
6	0.6589757278
7	0.6575247179
8	0.6573193455
9	0.6548841548
10	0.654709716
11	0.654548752
12	0.6313184934
13	0.6311933877
14	0.6310779446
15	0.629039957
16	0.6289418817
17	0.6288513806
18	0.628733784
19	0.6268407165
20	0.6267697352
21	0.6267042345
22	0.626643791
23	0.626588014
24	0.6066522057
25	0.6006580148
26	0.599248393
27	0.599198493
28	0.5991563749
29	0.5978570656
30	0.5978211526
31	0.5728247952
32	0.5728119216
33	0.5534398619
34	0.5534275892
35	0.5377699623
36	0.5377621133
37	0.5377548696
38	0.5342440358
39	0.5342334367
40	0.5342236553
41	0.5314121656
42	0.5287899554
43	0.5157642975
44	0.5157525874
45	0.5157417807
46	0.5157318076
47	0.5136647655
48	0.5136534716
49	0.495215343
50	0.4952136678
51	0.4948204112
52	0.4948183765
53	0.4873802202
54	0.4859006849
55	0.4858915058
56	0.4856239736
57	0.4748850103
58	0.4748767512
59	0.4748692315
60	0.474862292
61	0.4748558877
62	0.4748499774
63	0.4748445229
64	0.4748394892
65	0.4748270305
66	0.4646039906
67	0.4553751055
68	0.4173464933
69	0.417317269
70	0.4098690525
71	0.3982944821
72	0.3982853682
73	0.3982769234
74	0.3830079937
75	0.3830034395
76	0.3829992365
77	0.3827022395
78	0.3573269025
79	0.3571880142
80	0.3571641754
81	0.3500985629
82	0.3326412962
83	0.3325783204
84	0.3324153553
85	0.3323617582
86	0.3323123009
87	0.3322666635
88	0.3322245508
89	0.3219555445
90	0.3219249926
91	0.315788821
92	0.3124563222
93	0.3124389399
94	0.3120067975
95	0.303967354
96	0.3039559348
97	0.3039453967
98	0.3036542996
99	0.30056206
100	0.3004958587
101	0.3001270377
102	0.2998977277
103	0.2865524528
104	0.2864715396
105	0.2864428913
106	0.2839509789
107	0.2837182455
108	0.2814954548
109	0.2814746061
110	0.2810118739
111	0.2809931834
112	0.2809759357
113	0.2789959625
114	0.2789756596
115	0.2789627497
116	0.2770927709
117	0.2770813536
118	0.2770708175
119	0.2770194826
120	0.2731603518
121	0.2731546511
122	0.2731500656
123	0.2696366622
124	0.2665032678
125	0.266493363
126	0.2664927863
127	0.266492254
128	0.2664921644
129	0.2664916801
130	0.2664915563
131	0.257662598
132	0.2576566778
133	0.2576512143
134	0.2576445153
135	0.257632131
136	0.2576278382
137	0.2576002032
138	0.2575960521
139	0.2575926756
140	0.2575895594
